CRASH_RECORD_ID,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,CRASH_TYPE,STREET_NAME,LATITUDE,LONGITUDE,LOCATION,Label
0b17df02f64ca29d69d9f0535aa8220e6b6a9130340399e1c5678b2b6e692396dec48462f3607fc9a82729f63bd4ee736401c0e2122574d62b59b1bd35506783,,2022-09-17 19:01:00,35,CLEAR,DUSK,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,CLARK ST,41.9449236897,-87.6545078737,POINT (-87.654507873687 41.944923689681),"{'Mode': 'rental', 'Type': 'electric_bike'}"
567d74c521ce53e580754ab1635982a347cd7c8ee55c0ef3bde7dd316caf55d24dbbb9ed991ec479d12151e407fb4dad7912fafefd69fcebb6ce5563418026f9,,2022-10-03 12:02:00,30,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,WABASH AVE,41.8894773761,-87.6268026308,POINT (-87.626802630848 41.889477376081),"{'Mode': 'rental', 'Type': 'electric_bike'}"
3f8127cf84579eb82bcc03edfd8144eda226bb9069a359411d9eafef9e8ff91ddd6e63f5f376ed65f99005c11e19a26202b4ea1b2471e2f2671235c0091e0b48,,2022-11-02 18:07:00,30,CLEAR,DAYLIGHT,OTHER OBJECT,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,ABERDEEN ST,41.8777651878,-87.6547148368,POINT (-87.654714836821 41.877765187778),"{'Mode': 'rental', 'Type': 'classic_bike'}"
d9d732b9274fe94d420a0924c423e4be9ec21fa698310309cd9aa9a0e3f862c41546d91e5768ed36bf35ad34a64c0b71a94d47a83afd8c7447b0567530c3a8ee,,2022-11-02 21:01:00,30,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,ONE-WAY,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,ILLINOIS ST,41.8909228984,-87.6186575446,POINT (-87.618657544644 41.890922898414),"{'Mode': 'rental', 'Type': 'classic_bike'}"
cbb6876f5f91acc85388b018e8e57b6701b3e235a7de7b7e2aa910db761bfb46d3e7fe1090350aa26b3531d7f41d1d8c00b511ae09451c182ad42da9566c3c64,,2022-11-23 12:05:00,30,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,CLYBOURN AVE,41.9099688376,-87.6484152758,POINT (-87.648415275794 41.909968837552),"{'Mode': 'rental', 'Type': 'electric_bike'}"
64f32e9a55816bf6190e8e85c466ee83e31f7fe96cfb94f50241f6c02fbc93d1c766a7af391710ea2bccafe26da1f9cb78498aa858a96b9e5575d23bd1532f0f,,2022-12-04 14:20:00,30,CLEAR,DAYLIGHT,PEDALCYCLIST,FOUR WAY,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,BROADWAY,41.9901041639,-87.6604163625,POINT (-87.660416362514 41.990104163873),"{'Mode': 'rental', 'Type': 'electric_bike'}"
3f57325a1309abe53590ef861f3a2c9a6d4a4e6027ce835ce4bc05574a70b5926ba7a567f2990cb943e1bc926be46996d9c0f981aac20ee80203bf0a97813246,,2022-12-14 18:28:00,20,RAIN,"DARKNESS, LIGHTED ROAD",OTHER OBJECT,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,WET,NO INJURY / DRIVE AWAY,WOLF POINT PLZ,41.8880235436,-87.6364035514,POINT (-87.636403551437 41.888023543591),"{'Mode': 'rental', 'Type': 'electric_bike'}"
bcc12f6632b5c97d0f5f225be68ff4194518f6cb0d1a4ac03c648752ef92411e1d8301c070324d90de5146ab926788147448997b0d07ba93cebe10df25757c81,,2022-12-14 19:53:00,30,RAIN,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO INJURY / DRIVE AWAY,JEFFERSON ST,41.8805826251,-87.6424725001,POINT (-87.642472500132 41.880582625074),"{'Mode': 'rental', 'Type': 'classic_bike'}"
7e81741f4a51c504b09d7be2cb6d37e72b2b54dda826b3dce24153c0d4166a3604d0cae6dd313ac038c3c69279de60da6f55d63fc4388233f4fe8a18b9059af5,,2023-03-11 15:00:00,30,UNKNOWN,UNKNOWN,PEDALCYCLIST,FOUR WAY,STRAIGHT AND LEVEL,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,MILWAUKEE AVE,41.8917898081,-87.6482936546,POINT (-87.648293654627 41.891789808105),"{'Mode': 'rental', 'Type': 'classic_bike'}"
538c018cfeb3c9288f3d922b95f81e36f5cc432ee10aa8bcf1f6938ed9efe25f21d3dc9710433b1da62916303afbd183a654fb4d4c2c7f4a98e9a8aac218f1fa,,2023-03-31 14:35:00,30,CLEAR,DAYLIGHT,PEDALCYCLIST,CENTER TURN LANE,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,CHICAGO AVE,41.8967860509,-87.6282808746,POINT (-87.62828087456 41.896786050908),"{'Mode': 'rental', 'Type': 'electric_bike'}"
f82089c4461b9ae606a89add0a35352c59b8fbd289a52f02f2d096740e3e4de24416abc1fc5fd713c13b366c845d3624c3c4212573e074cb2a86cf4cab629d12,,2023-04-11 17:54:00,30,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,MONTROSE AVE,41.9613889267,-87.6757672492,POINT (-87.675767249157 41.961388926696),"{'Mode': 'rental', 'Type': 'classic_bike'}"
516117fea290c513b1acdae45ffc5c048afb6c8416ea9f8a14dcb1b1fa48d48c726dbf1f49fe8161978bb1014e3cac654718c099fefa1d95d53cb7d684b6ee03,,2023-04-12 10:11:00,30,CLEAR,DAYLIGHT,PEDALCYCLIST,ONE-WAY,STRAIGHT ON GRADE,DRY,INJURY AND / OR TOW DUE TO CRASH,CLARK ST,41.886018053,-87.6308364569,POINT (-87.630836456915 41.886018052969),"{'Mode': 'rental', 'Type': 'classic_bike'}"
6b561888fb3f4ca76ae1c2126a2908f22cb8f4a0afdfdc1a627015abc17a7f1248df0acf00bb5ea2d8e27938021e02b25fe552a4a59339a58470c85dfd2afd95,,2023-04-28 17:00:00,30,CLEAR,DAYLIGHT,FIXED OBJECT,ALLEY,STRAIGHT AND LEVEL,DRY,NO INJURY / DRIVE AWAY,ASHLAND AVE,41.9510164267,-87.668821743,POINT (-87.668821742952 41.951016426738),"{'Mode': 'rental', 'Type': 'classic_bike'}"
91a3defccda90a09b373d875b8456bc170c1b1fe167522a0243fa59cc0ab29fe56d196c44d630719d4db76caa1af81c9f3a8ea71dfe7f8aaab12eb39f5f0f136,,2023-05-10 14:15:00,30,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,BELMONT AVE,41.9398726156,-87.6639452444,POINT (-87.663945244369 41.939872615605),"{'Mode': 'rental', 'Type': 'classic_bike'}"
3024eb9477b33ad7de51741e2e6ce7957853dbebbd4f6264039084b18be907a82a002b973bfba1b9c1c928279bc85f0cff3c73f8c28e357d8ebcca9a2678b589,,2023-05-23 17:45:00,30,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO INJURY / DRIVE AWAY,ELSTON AVE,41.9298022097,-87.684141707,POINT (-87.684141707021 41.929802209653),"{'Mode': 'rental', 'Type': 'electric_bike'}"
