CRASH_UNIT_ID,CRASH_RECORD_ID,CRASH_DATE,UNIT_NO,UNIT_TYPE,NUM_PASSENGERS,VEHICLE_ID,CMRC_VEH_I,MAKE,MODEL,LIC_PLATE_STATE,VEHICLE_YEAR,VEHICLE_DEFECT,VEHICLE_TYPE,VEHICLE_USE,TRAVEL_DIRECTION,MANEUVER,TOWED_I,FIRE_I,OCCUPANT_CNT,EXCEED_SPEED_LIMIT_I,TOWED_BY,TOWED_TO,AREA_00_I,AREA_01_I,AREA_02_I,AREA_03_I,AREA_04_I,AREA_05_I,AREA_06_I,AREA_07_I,AREA_08_I,AREA_09_I,AREA_10_I,AREA_11_I,AREA_12_I,AREA_99_I,FIRST_CONTACT_POINT,CMV_ID,USDOT_NO,CCMC_NO,ILCC_NO,COMMERCIAL_SRC,GVWR,CARRIER_NAME,CARRIER_STATE,CARRIER_CITY,HAZMAT_PLACARDS_I,HAZMAT_NAME,UN_NO,HAZMAT_PRESENT_I,HAZMAT_REPORT_I,HAZMAT_REPORT_NO,MCS_REPORT_I,MCS_REPORT_NO,HAZMAT_VIO_CAUSE_CRASH_I,MCS_VIO_CAUSE_CRASH_I,IDOT_PERMIT_NO,WIDE_LOAD_I,TRAILER1_WIDTH,TRAILER2_WIDTH,TRAILER1_LENGTH,TRAILER2_LENGTH,TOTAL_VEHICLE_LENGTH,AXLE_CNT,VEHICLE_CONFIG,CARGO_BODY_TYPE,LOAD_TYPE,HAZMAT_OUT_OF_SERVICE_I,MCS_OUT_OF_SERVICE_I,HAZMAT_CLASS
1879643,cc68cdd4c844d692b70aa0b2554d353334e36dc7beded3ee2dd0d7f64edfb2b50eabf7f7b7825ecdfcbe47f578ea021a3e0c6d58d94dae40f4bdd3c2fb16013a,08/07/2024 04:30:00 PM,1,DRIVER,,1790648,,UNKNOWN,MOTORIZED,IL,,UNKNOWN,MOPED OR MOTORIZED BICYCLE,UNKNOWN/NA,N,STRAIGHT AHEAD,,,1,,,,,Y,,,,,,,,,,,,,FRONT-RIGHT-CORNER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879451,5f1ff91a164f65e2ad833468254695f2733b01260aac1a778be892056f850d797ec7913bd45dbc42512f5fa4a6f90e7a45a03be1830fb577c54d582dbb539b50,08/07/2024 07:00:00 AM,2,DRIVER,,1790483,,"(HOMEMADE MOTORCYCLE, MOPED.ETC.)","(HOMEMADE MOTORCYCLE, MOPED.ETC.)",IL,,UNKNOWN,MOPED OR MOTORIZED BICYCLE,PERSONAL,S,STRAIGHT AHEAD,,,1,,,,,,,,,,,,,,,,,,SIDE-LEFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879183,88b762fb28c4a098e6ca7ab52a214fddc77905c39f996dde810a6b8a71bee184800777b518ee7d7ebb5cc4fe565059462f818c9042ae370245713d7398506e37,08/06/2024 06:30:00 PM,1,DRIVER,,1790208,,YAMAHA,OTHER (EXPLAIN IN NARRATIVE),IL,2020,NONE,MOPED OR MOTORIZED BICYCLE,PERSONAL,NW,TURNING RIGHT,,,1,,,,,,,,,,,,,Y,Y,Y,,,FRONT-LEFT-CORNER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878562,4cd80482e49a571293cdcd4c1917cded9533cd1c5ae9b20a8771b5bd4294636e2d64fea1c513a46af382b55784a3ec6dd47d9e9ad0d15820c9034119b9497bea,08/05/2024 06:10:00 PM,1,DRIVER,,1789610,,UNKNOWN,OTHER (EXPLAIN IN NARRATIVE),IL,,UNKNOWN,MOPED OR MOTORIZED BICYCLE,UNKNOWN/NA,S,PASSING/OVERTAKING,,,1,,,,,,,,,,,,,,,,,Y,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878238,d77f86093edb9c14ea4364cf08a027a8d344dab8daf143b62fc8005c671066bebbb2f0967dcc0798bc37bc9f9676a2ef8c95a72657b53c347c5da3dd09970d8d,08/05/2024 11:30:00 AM,1,DRIVER,,1789300,,UNKNOWN,OTHER (EXPLAIN IN NARRATIVE),IL,,NONE,MOPED OR MOTORIZED BICYCLE,PERSONAL,W,UNKNOWN/NA,,,1,,,,,,,,,,,,,,,,Y,,FRONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878765,d3c7da797a92e020e6e32e425954967cf4e9ce8a1b4ff4b7e00182a6a33d7cd48b2fb3220bab00dbc83906118063790c4bd5d55c8d3af878f0d643febc3cb290,08/04/2024 12:56:00 PM,1,DRIVER,,1789801,,EAGLE,OTHER (EXPLAIN IN NARRATIVE),,,NONE,MOPED OR MOTORIZED BICYCLE,PERSONAL,E,STARTING IN TRAFFIC,,,1,,,,,,,,,,,,,,,,,,OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875831,66bfdfb251f9eb424f6866adeba39ac13ba4fc86fc47b5bae2fd43848c2f0855640b210278b69d071464f8f974705c6d4511c3553fb93692da20f3bba56893f5,08/01/2024 09:13:00 PM,2,DRIVER,,1787001,,UNKNOWN,MOTORIZED,,,UNKNOWN,MOPED OR MOTORIZED BICYCLE,PERSONAL,N,STRAIGHT AHEAD,,,1,,,,,,,,,,,,,,,,,,FRONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875856,4762de9ab65e0031a01e556fee832f3628a7f7875e51fc334427b5e1454b50bab248b0071a9be3acbc8095b36b8a8879a557bf13c91501e55cb0176ceb67e466,08/01/2024 08:45:00 PM,1,DRIVER,,1787027,,UNKNOWN,MOTORIZED,,,UNKNOWN,MOPED OR MOTORIZED BICYCLE,PERSONAL,S,STRAIGHT AHEAD,,,1,,,,,,,,,,,,,,,,Y,,FRONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1874663,bd0bf35282671146a15240f2b79a4b9e244f5a74301f19490bd5ad2f9081f5d35d7948bef94e0482efc36fcb2f80ba59f7d712e3e64a4fa4aad7ee338c2d21e7,07/31/2024 01:50:00 PM,1,DRIVER,,1785876,,UNKNOWN,OTHER (EXPLAIN IN NARRATIVE),,,UNKNOWN,MOPED OR MOTORIZED BICYCLE,PERSONAL,N,STRAIGHT AHEAD,,,1,,,,,,,,,,,,,,,,Y,,FRONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1873863,23495c228db84e4847c9a576c56841fa90060e40eaef870f4d731de74e253d120a5321ece238fae8980ba0a1577925a0da414c76e91ce8bb4675852c420d1ff6,07/30/2024 06:40:00 AM,1,DRIVER,,1785135,,UNKNOWN,MOTORIZED,IL,,UNKNOWN,MOPED OR MOTORIZED BICYCLE,NOT IN USE,S,UNKNOWN/NA,,,1,,,,,,,,,,,,,,,,,Y,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
